period,value
2015_W_11,47653.606284049
2015_W_12,50461.421272363
2015_W_13,47585.731242823
2015_W_14,67950.53712922
2015_W_15,62495.063814616
2015_W_16,29919.048553565
2015_W_17,67250.34437503
2015_W_18,82950.353863508
2015_W_19,47547.164771639
2015_W_20,53553.061758788
2015_W_21,59342.568519747
2015_W_22,43602.056398525
2015_W_23,64862.778761538
2015_W_24,65203.326919009
2015_W_25,54941.494637664
2015_W_26,39863.035475521
2015_W_27,84459.853768358
2015_W_28,69569.172110888
2015_W_29,39665.382326655
2015_W_30,61160.080124797
2015_W_31,68699.640412011
2015_W_32,44968.348913022
2015_W_33,58544.699991493
2015_W_34,73497.989784376
2015_W_35,72924.253750944
2015_W_36,48293.710490388
2015_W_37,43829.453652284
2015_W_38,99468.629951915
2015_W_39,54974.237475406
2015_W_40,74980.079064273
2015_W_41,78879.412124853
2015_W_42,72973.552982664
2015_W_43,109332.455861228
2015_W_44,77591.167696739
2015_W_45,80159.621824691
2015_W_46,77305.524590303
2015_W_47,93738.801307999
2015_W_48,152340.566575052
2015_W_49,91951.360194168
2015_W_50,75975.228746411
2015_W_51,99525.649015372
2015_W_52,74038.570085088
2015_W_53,70557.913570182
2016_W_01,58701.257495219
2016_W_02,72251.518746499
2016_W_03,87042.61723513
2016_W_04,95665.409628913
2016_W_05,107342.916245576
2016_W_06,120502.819397107
2016_W_07,98029.208611575
2016_W_08,122217.517829627
2016_W_09,165675.871595336
2016_W_10,132635.652019112
2016_W_11,86633.578330842
2016_W_12,92977.453941991
2016_W_13,102732.344086195
2016_W_14,120359.924899849
2016_W_15,139215.074535944
2016_W_16,110604.394988562
2016_W_17,68878.55080547
2016_W_18,99703.814267898
2016_W_19,149636.410649414
2016_W_20,246275.940954816
2016_W_21,107386.454946584
2016_W_22,101335.231773071
2016_W_23,134140.149755984
2016_W_24,137767.662411178
2016_W_25,92732.843443816
2016_W_26,126148.475825422
2016_W_27,99429.729947455
2016_W_28,68347.961200083
2016_W_29,105141.34517797
2016_W_30,126788.303891567
2016_W_31,132718.629118732
2016_W_32,114043.935849104
2016_W_33,197989.634469015
2016_W_34,104903.104485376
2016_W_35,102037.484627865
2016_W_36,121399.800167571
2016_W_37,112122.334022292
2016_W_38,126147.936058413
2016_W_39,181943.331018833
2016_W_40,137708.769376696
2016_W_41,180345.74210961
2016_W_42,156251.515380905
2016_W_43,187610.862175053
2016_W_44,178818.678275185
2016_W_45,201247.917017042
2016_W_46,174552.664328753
2016_W_47,202912.959970461
2016_W_48,201872.875422466
2016_W_49,201932.068055324
2016_W_50,149910.016748135
2016_W_51,133388.86719165
2016_W_52,75566.409732922
2017_W_01,176416.940469006
2017_W_02,210235.82003815
2017_W_03,230336.72898562
2017_W_04,210403.26805325
2017_W_05,262596.259213066
2017_W_06,174514.603407674
2017_W_07,172458.192444067
2017_W_08,227611.242057165
2017_W_09,205780.321316174
2017_W_10,229396.570886097
2017_W_11,214390.423600289
2017_W_12,214285.094534178
2017_W_13,196848.599176428
2017_W_14,223326.520849462
2017_W_15,197332.322771676
2017_W_16,232492.66031399
2017_W_17,324603.26440236
2017_W_18,213561.301256835
2017_W_19,231618.248905414
2017_W_20,197258.564555564
2017_W_21,167341.503212499
2017_W_22,179317.234266187
2017_W_23,181147.697136266
2017_W_24,225129.824185057
2017_W_25,225713.656981612
2017_W_26,277588.499783215
2017_W_27,220073.114896058
2017_W_28,225915.079132376
2017_W_29,216298.924561164
2017_W_30,246016.027138259
2017_W_31,221093.410696944
2017_W_32,228708.584685143
2017_W_33,259730.646791414
2017_W_34,221144.388302509
2017_W_35,300561.981192903
2017_W_36,267004.489609163
2017_W_37,268738.921116605
2017_W_38,277366.00672432
2017_W_39,304497.943738095
2017_W_40,191567.011953852
2017_W_41,265424.121288871
2017_W_42,305684.849873783
2017_W_43,273225.410901676
2017_W_44,275740.671019404
2017_W_45,297584.101004497
2017_W_46,308322.280101467
2017_W_47,345255.376597775
2017_W_48,330830.713744275
2017_W_49,303989.074101754
2017_W_50,218791.000953252
2017_W_51,215375.872926911
2017_W_52,182421.240636337
2018_W_01,289068.594672784
2018_W_02,321767.777880101
2018_W_03,333696.6633137
2018_W_04,329706.529925492
2018_W_05,372367.546106479
2018_W_06,310066.73078442
2018_W_07,311515.746991812
2018_W_08,261314.844136792
2018_W_09,313515.307566362
2018_W_10,336252.709473458
2018_W_11,268440.547629999
2018_W_12,255163.993126236
2018_W_13,275132.210352159
2018_W_14,366404.410893031
2018_W_15,312816.306480373
2018_W_16,273479.523394077
2018_W_17,247884.571692459
2018_W_18,361827.667642129
2018_W_19,306999.557616944
2018_W_20,287606.491613845
2018_W_21,287649.432135925
2018_W_22,248944.715730875
2018_W_23,261975.572283672
2018_W_24,339086.976644912
2018_W_25,267672.030237077
2018_W_26,307838.61050754
2018_W_27,304470.066803214
2018_W_28,206484.528948777
2018_W_29,271342.854553914
2018_W_30,276284.93346806
2018_W_31,376857.099678701
2018_W_32,273602.049424836
2018_W_33,372320.949581639
2018_W_34,291146.579931121
2018_W_35,348291.984421342
2018_W_36,314061.540628897
2018_W_37,420839.935773752
2018_W_38,374393.398292011
2018_W_39,312261.342920534
2018_W_40,334226.415047897
2018_W_41,369919.89286133
2018_W_42,395650.582663833
2018_W_43,443517.380293029
2018_W_44,490608.752167942
2018_W_45,446848.751350689
2018_W_46,483924.036779214
2018_W_47,533821.865410087
2018_W_48,493517.777113719
